Основное средство;Гр. уч;Инвентарный номер;Серийный номерЦМО;Дата ввода в эксплуатацию;Дата принятия к учету;Количество
ПК программно-аппаратного комплекса- сенсорная панель МSI АЕ222Т-285RU;Нет;41013400638;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);16.10.2018;16.10.2018;1
Персональный компьютер АРМ администратора МSI Codex В913 - КРПЕ.466219.032;Нет;41013400639;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);16.10.2018;16.10.2018;1
"Компьютерно-игровой комплекс ""LigroGame""";Нет;01013401033;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);31.03.2021;31.03.2021;1
Источник бесперебойного питания тип 1 ИБП Hiden expert udc92010H-RT 10 kVa/10 kW (PF=1) в комплекте (Техносфера);Нет;01013401880;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 1 ИБП Hiden expert udc92010H-RT 10 kVa/10 kW (PF=1) в комплекте (Техносфера);Нет;01013401881;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 1 ИБП Hiden expert udc92010H-RT 10 kVa/10 kW (PF=1) в комплекте (Техносфера);Нет;01013401882;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401883;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401884;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401885;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401886;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401887;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 2 ИБП Hiden KU9102S-RT 2000Va/1800W встроенные акб в корпусе 9а (Техносфера);Нет;01013401888;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
Источник бесперебойного питания тип 3 ИБП Hiden KU91015S-RT 1500Va/1350W встроенные акб в корпусе 9 (Техносфера);Нет;01013401889;00000000000;20 ШС Пельтихина Е.С.з.х.(с 02.05..2023)( г.Москва, Новосущёвская улица, дом 20);19.08.2021;19.08.2021;1
